distance_km,passengers,duration_min
23.444725408122938,2,62.06819910633823
13.727474752809517,4,38.36346746260676
25.899339677430092,1,63.208816071285746
21.22367284272155,2,53.692220208673824
3.7311430887418364,4,15.549484699936801
29.29304819746592,4,77.63136555434497
23.073051357720235,2,59.331903776035475
23.79586485303166,3,64.73232242601539
4.71529534759083,1,14.253398314465402
14.061192198971447,1,36.37742921934841
11.753142702744857,2,31.489453665798163
27.87618467660945,4,74.3583604787105
19.672088482339273,3,53.007384004235654
24.86008678485407,2,66.15026424345479
13.859011765992603,2,37.46999683921873
7.5899229317585295,1,20.900836362435463
17.082958823459208,2,46.27666716771819
2.8507004270210845,1,7.157075066528293
25.00130398778488,1,64.45812186193625
19.31826757453988,3,51.60110018168809
22.984544462475842,1,56.14526596041684
11.281253075766182,1,27.27496314742964
29.150242707452193,3,75.4574891571118
26.90051251834373,2,70.18250452445191
23.573121415139095,2,61.44660310318803
6.64452252770706,1,17.99567302644331
14.53490910808399,1,39.48821625289667
2.2703092078296345,2,6.806683404714274
5.474395269958887,3,17.258554820713492
20.808419644031183,2,54.72548463289177
22.598102521326698,3,59.35898318677841
29.05778224059209,3,76.27278234656315
10.448935386006406,2,26.922389130931666
11.743331475011198,2,33.16823490480302
14.61711852699843,2,38.26118176496564
6.494669413444285,1,19.468073698389215
4.767723654728678,3,15.486834812904238
14.795442860552079,3,41.61666071677938
7.580371122475639,2,21.29762493719794
20.4246058457928,2,53.43077078222147
13.677405647297592,2,36.009484785021975
25.147667685677284,3,66.58829314355948
21.307687958065223,4,58.38721858957711
10.058632600079191,1,25.562322991282798
25.13553424046083,2,65.11379118529219
24.338166367407254,1,61.43531705246102
12.236872991875059,2,35.29184654930249
9.36151501397708,1,24.514056765031082
20.79236961527429,2,55.92615618988228
5.052822024669984,2,14.836432730867273
6.797337871778141,2,19.65263232098026
1.21350582277916,2,4.11240048530263
23.820806947562012,4,63.90494477703716
20.28067484116893,4,55.71222177371157
21.449795980163717,1,56.41049378136916
23.64114189963707,2,61.724837526768944
14.308557490611859,4,41.95511408772264
17.49349468263392,3,47.97446581678772
5.054112945702066,1,15.46268370371985
4.32137213254323,3,14.34438811405302
20.383685891923676,1,54.549437440461
14.661789978150843,1,37.36907874246298
17.391847087954474,3,46.313155885688516
23.18496686506474,3,60.35236431297282
19.406831280017133,4,55.6481028716009
17.05380261908188,2,45.85395412032259
17.217007661616993,4,47.50839842066217
9.814552843815754,2,28.18540480641288
1.8937172024702429,3,9.021985191293389
13.664804287738509,1,37.328138190721866
7.222955511766346,1,17.709555946675955
12.847330668014449,4,36.65296656172186
25.748689124776817,4,68.70920142799922
7.784245090094881,4,22.286930048828605
2.6907795089829145,2,10.18727597723698
9.1601328686379,1,23.829935615791392
9.514218975233824,4,29.325178643071123
20.195578927079957,3,56.44871925202951
17.15393241789707,1,43.73158735291507
23.73304806408599,4,63.71146717755783
20.265092669494237,4,55.58139584345959
12.785218981762045,2,35.35029480738852
24.606591155315005,4,65.74976486297736
5.842214677323414,4,18.774575096176402
1.658650120881954,3,8.803814572446251
3.6113879624936107,3,13.00710923007206
21.94842116729706,2,55.226324655237825
14.394439677290235,4,39.56070739375647
5.6768815919744515,4,20.49343984376334
15.530298477997542,4,44.02767447807266
5.417050978681884,3,16.38043151566746
21.193290877254345,1,54.01281753590088
13.93853199164689,2,37.259566651918895
12.049615556797992,2,33.25977225227514
9.743850585288419,4,27.80136306836226
19.278195200447765,3,50.954538862448956
11.492565706048323,3,32.604370019984195
3.541847660166929,1,9.954784569921872
4.422171161494944,4,16.427287086374072
28.89503227193592,2,73.40807328248022
27.348840030520606,1,69.92922875257283
21.291506880511736,4,59.12035082065681
8.710228882326067,1,23.46239075296445
29.10611494308399,1,74.10439909747157
23.583776215008044,1,60.06355693495414
21.789815485610873,2,56.03968756125568
14.031483562169871,1,36.20671031298489
8.895005293509612,4,28.297219086654437
3.7953379024514797,3,12.969316249528573
27.17546949977141,2,69.44886976008011
14.217512405174721,1,36.25153392417142
6.868537579061679,2,19.772194244930127
9.872742100368923,1,25.50834125374146
17.797367499314984,4,49.7787220313506
6.12641070523772,2,18.238870523843328
25.84181423867889,2,67.89351877710187
22.997066365221094,1,60.11622538531777
21.864425722577167,1,56.85692303081528
13.530698153478008,1,34.09250631954706
19.191956380370854,1,48.276356504350865
17.938841098469332,3,48.37133126971351
19.84555144508978,4,53.96270325548503
3.448885313056784,4,12.283886555681017
13.05841466294768,2,34.604344863196204
2.206811041994882,4,9.842514671368166
15.325733758091049,3,41.24248665546642
10.565975157650774,1,27.29914840797193
5.19120147711536,1,15.35645454310673
3.998686063953998,3,13.795953201134234
18.04169259315365,2,49.97604055893959
5.947196087569697,1,16.238498404943893
27.82848343292712,4,74.08114280838053
17.850773051311453,3,48.2310655109335
11.059224331510276,3,31.504552807219234
18.136549252961085,4,50.576627089573776
1.6613122598612273,4,11.02999197551209
28.798217184001913,4,75.9502224950272
14.986799671344107,2,40.726045236538
23.6993215902583,4,64.25605457325987
3.3991699977507186,3,10.526827251806179
15.11309159430665,3,42.15342776786139
15.230502836281106,4,44.14388065150667
28.196967194274503,1,70.83524158190883
17.580113518906185,2,46.34134992937349
14.73119263065166,1,36.302627314621446
8.742294229664914,2,22.996929114477947
10.615500922934013,2,29.986781884952283
16.099499671674597,4,44.58233267317905
13.728432348846354,4,38.012277897177846
1.6267503165295825,2,6.696336155782386
24.962465801636377,2,64.28375207265992
26.988662383353233,3,70.60083430060754
5.067223580959713,4,18.207384978074185
17.06704816263243,4,46.30588704764673
4.148696492927863,1,10.666376019637823
20.494962698154538,1,52.59148673753521
9.155779731331242,3,27.458859119076312
20.123256406065153,2,53.94630131665273
22.082843814319595,1,55.742047815437374
23.290777265612054,1,60.364320130949785
4.124487432721001,2,11.927076288332094
27.56434350899063,2,73.13706811938337
7.676205735951544,3,21.65674331445913
2.0849641291092134,1,7.740889133564765
